NA18616	B
NA18617	B
NA18618	M
NA18619	B
NA18620	F
NA18621	A
NA18622	Z
NA18623	D
NA18624	F
NA18625	D
NA18626	F
NA18627	B
NA18628	N
NA18629	F
NA18630	D
NA18631	C
NA18632	A
NA18633	D
NA18634	G
NA18635	G
NA18636	M
NA18637	G
NA18638	M
NA18639	M
NA18640	D
NA18641	F
NA18642	A
NA18643	B
NA18644	M
NA18645	F
NA18646	M
NA18647	D
NA18648	D
NA18740	N
NA18745	M
NA18747	N
NA18748	N
NA18749	M
NA18757	D
HG00403	M
HG00404	B
HG00406	N
HG00407	R
HG00409	F
HG00410	M
HG00419	B
HG00421	D
HG00422	N
HG00428	C
HG00436	Z
HG00437	F
HG00442	F
HG00443	M
HG00445	R
HG00446	B
HG00448	M
HG00449	R
HG00451	A
HG00452	B
HG00457	M
HG00458	B
HG00463	M
HG00464	F
HG00472	F
HG00473	D
HG00475	D
HG00476	Z
HG00478	D
HG00479	N
HG00500	N
HG00513	R
HG00524	M
HG00525	M
HG00530	F
HG00531	N
HG00533	B
HG00534	R
HG00536	R
HG00537	B
HG00542	B
HG00543	R
HG00556	N
HG00557	A
HG00559	M
HG00560	F
HG00565	A
HG00566	A
HG00580	D
HG00581	D
HG00583	D
HG00584	N
HG00589	F
HG00590	C
HG00592	N
HG00593	M
HG00595	D
HG00596	B
HG00598	G
HG00599	B
HG00607	M
HG00608	B
HG00610	B
HG00611	M
HG00613	D
HG00614	Z
HG00619	D
HG00620	N
HG00622	G
HG00623	B
HG00625	D
HG00626	M
HG00628	D
HG00629	D
HG00631	B
HG00632	F
HG00634	A
HG00650	M
HG00651	D
HG00653	N
HG00654	R
HG00656	A
HG00657	D
HG00662	D
HG00663	R
HG00671	D
HG00672	F
HG00674	F
HG00675	F
HG00683	M
HG00684	D
HG00689	M
HG00690	B
HG00692	M
HG00693	D
HG00698	D
HG00699	D
HG00701	M
HG00704	B
HG00705	F
HG00707	F
HG00708	B
HG00717	F
HG00728	F
HG00729	R
HG01112	A
HG01113	A
HG01119	A
HG01121	A
HG01122	A
HG01124	D
HG01125	A
HG01130	B
HG01131	B
HG01133	B
